0,382.7542
1,380.07104
2,377.94366
3,377.67896
4,364.2942
5,362.4346
6,359.007
7,368.32175
8,376.82864
9,374.9039
10,360.73972
11,358.65863
12,376.29477
13,367.84265
14,363.5125
15,362.67636
16,366.34607
17,366.4915
18,364.6198
19,361.26068
20,353.60205
21,362.71893
22,355.26813
23,355.02985
24,352.38315
25,354.90274
26,358.41708
27,358.7039
28,351.8325
29,373.4915
30,353.1061
31,361.92426
32,348.93875
33,357.0348
34,351.2466
35,354.06604
36,345.4405
37,356.50885
38,361.62784
39,344.95328
40,350.72534
41,338.91257
42,346.611
43,350.28363
44,347.0272
45,340.8351
46,341.59805
47,347.8626
48,336.8591
49,347.54495
50,347.34354
51,335.37012
52,343.5674
53,344.0519
54,350.2018
55,340.828
56,336.7662
57,342.2217
58,346.59055
59,339.6978
60,340.17166
61,344.0526
62,323.48538
63,333.29346
64,329.6335
65,338.3088
66,346.5904
67,347.04822
68,342.18396
69,331.56226
70,347.73788
71,337.38715
72,332.47116
73,330.14813
74,338.42102
75,338.15375
76,339.7322
77,336.8629
78,333.1819
79,347.2263
80,319.13928
81,331.54022
82,335.1364
83,338.26562
84,328.50964
85,341.7927
86,330.89426
87,347.3297
